Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
14-02-2022,1690,1718.55,1678.25,1682.2,12670785136,280769,7459637
11-02-2022,1740,1745.95,1713,1721.35,12993527942,430200,7551371
10-02-2022,1755.65,1773.9,1748.75,1769.6,7631331627,206904,4334630
09-02-2022,1735,1743,1725,1737.3,6713900255,178730,3867244
08-02-2022,1710,1725,1696,1717.3,10363805940,222044,6053401
07-02-2022,1722.2,1732,1695.4,1715,7389275044,254813,4310209
04-02-2022,1732,1753.95,1710.15,1741.1,8160294996,193857,4700077
03-02-2022,1779,1779,1734,1738.55,6727366646,183506,3832922
02-02-2022,1789,1792.8,1772,1787.1,7595951820,146941,4253717
01-02-2022,1766.1,1780,1734.7,1772.05,9046788138,186159,5119935
31-01-2022,1718,1749.5,1715.35,1736.2,15264864509,313682,8788872
28-01-2022,1681,1727.55,1679.5,1686.2,18711813889,336935,10998502
27-01-2022,1702,1709.7,1665,1678.6,18884048987,495160,11231734
25-01-2022,1726.6,1740,1700.5,1722.15,15710645707,370958,9137653
24-01-2022,1765,1768.65,1728,1736.8,12414981413,261123,7116712
21-01-2022,1795,1808,1776,1785.7,14765723987,363701,8252758
20-01-2022,1844,1848,1815.5,1823.7,10114140157,267078,5533463
19-01-2022,1916,1916,1862.85,1867.05,10805850966,177957,5747770
18-01-2022,1922.1,1945,1911.45,1920.75,7100450832,209492,3690315
17-01-2022,1938.55,1953.9,1930.5,1939.5,10216874399,177946,5262464
14-01-2022,1882,1933,1881,1929.35,14706988627,225842,7688506
13-01-2022,1905,1912.5,1866.35,1896.8,27044612998,390078,14277630
12-01-2022,1868.9,1889,1860,1877.45,10050718588,195948,5362535
11-01-2022,1855,1870,1850.15,1855.6,9564958557,189308,5142287
10-01-2022,1815,1869.9,1813,1850.75,14554564594,227924,7857560
07-01-2022,1815.45,1836,1806.8,1814.3,8791606623,148117,4834389
06-01-2022,1828,1828,1800,1817.8,11686479371,232721,6449205
05-01-2022,1900,1902.9,1840,1844.65,12994844600,289755,6995719
04-01-2022,1898.45,1906.65,1878,1899.15,7408140297,120603,3921999
03-01-2022,1887.75,1914.05,1887.75,1898.45,6342326138,128107,3329616
31-12-2021,1890,1898.35,1871.65,1887.75,8717788086,132766,4619420
30-12-2021,1884.5,1909.8,1874.35,1892.85,8689853630,127547,4584738
29-12-2021,1883.5,1893.8,1876.4,1885.55,6104257384,94918,3236635
28-12-2021,1880.7,1895.9,1878.4,1888,6304763251,147835,3340933
27-12-2021,1860,1874.5,1845.05,1866.15,4935229850,141608,2647733
24-12-2021,1872.95,1875.75,1854,1863.5,7047796921,119651,3780347
23-12-2021,1831.25,1861.6,1827,1857.6,7607253609,160898,4112933
22-12-2021,1825,1829.15,1812.35,1824.7,7565456224,121978,4156428
21-12-2021,1801,1838,1801,1811.6,9753723500,204777,5353584
